kernel_id,family,ambient_rows,kernel_width,row_symmetry_orbit,orbit_size,weight_or_degree,triple_incidence,affine_lower_value,gap_or_penalty,marked_membership,marked_triple_contribution,deficit_residue_mod_3,classification,role
restricted_3r_w0,single_column_restriction,3,1,weight_0,1,0,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_3r_w1,single_column_restriction,3,1,weight_1,3,1,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_3r_w2,single_column_restriction,3,1,weight_2,3,2,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_3r_w3,single_column_restriction,3,1,weight_3,1,3,1,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_4r_w0,single_column_restriction,4,1,weight_0,1,0,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_4r_w1,single_column_restriction,4,1,weight_1,4,1,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_4r_w2,single_column_restriction,4,1,weight_2,6,2,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_4r_w3,single_column_restriction,4,1,weight_3,4,3,1,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_4r_w4,single_column_restriction,4,1,weight_4,1,4,4,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_5r_w0,single_column_restriction,5,1,weight_0,1,0,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_5r_w1,single_column_restriction,5,1,weight_1,5,1,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_5r_w2,single_column_restriction,5,1,weight_2,10,2,0,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_5r_w3,single_column_restriction,5,1,weight_3,10,3,1,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_5r_w4,single_column_restriction,5,1,weight_4,5,4,4,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
restricted_5r_w5,single_column_restriction,5,1,weight_5,1,5,10,,,,,,complete_row_symmetry_orbit,one-column restriction quotient
column_9r_d0,sharp_column_penalty,9,1,degree_0,1,0,0,-20,20,,,,excluded_at_104,"local inequality C(d,3) >= 6d-20"
column_9r_d1,sharp_column_penalty,9,1,degree_1,9,1,0,-14,14,,,,excluded_at_104,"local inequality C(d,3) >= 6d-20"
column_9r_d2,sharp_column_penalty,9,1,degree_2,36,2,0,-8,8,,,,excluded_at_104,"local inequality C(d,3) >= 6d-20"
column_9r_d3,sharp_column_penalty,9,1,degree_3,84,3,1,-2,3,,,,near_equality,"local inequality C(d,3) >= 6d-20"
column_9r_d4,sharp_column_penalty,9,1,degree_4,126,4,4,4,0,,,,equality,"local inequality C(d,3) >= 6d-20"
column_9r_d5,sharp_column_penalty,9,1,degree_5,126,5,10,10,0,,,,equality,"local inequality C(d,3) >= 6d-20"
column_9r_d6,sharp_column_penalty,9,1,degree_6,84,6,20,16,4,,,,near_equality,"local inequality C(d,3) >= 6d-20"
column_9r_d7,sharp_column_penalty,9,1,degree_7,36,7,35,22,13,,,,excluded_at_104,"local inequality C(d,3) >= 6d-20"
column_9r_d8,sharp_column_penalty,9,1,degree_8,9,8,56,28,28,,,,excluded_at_104,"local inequality C(d,3) >= 6d-20"
column_9r_d9,sharp_column_penalty,9,1,degree_9,1,9,84,34,50,,,,excluded_at_104,"local inequality C(d,3) >= 6d-20"
marked_d3_in0,marked_row_overlap,9,1,degree_3_membership_0,56,3,1,-2,3,0,0,2,overlap_residue_type,equality/near-equality compatibility
marked_d3_in1,marked_row_overlap,9,1,degree_3_membership_1,28,3,1,-2,3,1,1,1,overlap_residue_type,equality/near-equality compatibility
marked_d4_in0,marked_row_overlap,9,1,degree_4_membership_0,70,4,4,4,0,0,0,2,overlap_residue_type,equality/near-equality compatibility
marked_d4_in1,marked_row_overlap,9,1,degree_4_membership_1,56,4,4,4,0,1,3,2,overlap_residue_type,equality/near-equality compatibility
marked_d5_in0,marked_row_overlap,9,1,degree_5_membership_0,56,5,10,10,0,0,0,2,overlap_residue_type,equality/near-equality compatibility
marked_d5_in1,marked_row_overlap,9,1,degree_5_membership_1,70,5,10,10,0,1,6,2,overlap_residue_type,equality/near-equality compatibility
marked_d6_in0,marked_row_overlap,9,1,degree_6_membership_0,28,6,20,16,4,0,0,2,overlap_residue_type,equality/near-equality compatibility
marked_d6_in1,marked_row_overlap,9,1,degree_6_membership_1,56,6,20,16,4,1,10,1,overlap_residue_type,equality/near-equality compatibility
